PinNum,Used,PinType,PinDir
2,0,D,O
3,0,D,O
4,0,D,O
5,0,D,O
6,0,D,O
7,0,D,I
8,0,D,I
9,0,D,I
10,0,D,I
11,0,D,I
12,0,D,I
13,0,D,I
14,0,D,I
15,0,D,I
16,0,D,I
17,0,D,I
18,0,D,E
19,0,D,E
20,0,D,E
21,0,D,E
22,0,D,E
23,0,D,E
24,0,D,E
25,0,D,E
26,0,D,E
27,0,D,E
28,0,D,E
29,0,D,E
30,0,D,E
31,0,D,E
32,0,D,E
33,0,D,E
34,0,D,E
35,0,D,E
36,0,D,E
37,0,D,E
38,0,D,E
39,0,D,E
40,0,D,E
41,0,D,E
42,0,D,E
43,0,D,E
44,0,D,E
45,0,D,E
46,0,D,E
47,0,D,E
48,0,D,E
49,0,D,E
50,0,D,E
51,0,D,E
52,0,D,E
53,0,D,E
0,0,A,E
1,0,A,E
2,0,A,E
3,0,A,E
4,0,A,E
5,0,A,E
6,0,A,E
7,0,A,E
8,0,A,E
9,0,A,E
10,0,A,E
11,0,A,E
12,0,A,E
13,0,A,E
14,0,A,E
15,0,A,E
